phenotype,definition
Abdominal Pain,"Abdominal pain is defined as the subjective experience of pain perceived in the abdomen or contiguous regions â€” including the pelvis, flanks, and epigastric area â€” irrespective of underlying etiology, pathophysiological mechanism, temporal pattern, or intensity. The phenotype encompasses pain arising from any intra-abdominal or pelvic organ, the abdominal wall, or the peritoneum, as well as pain perceived within the abdomen but originating from extra-abdominal sources through referred pain mechanisms, such as inferior myocardial infarction presenting as epigastric discomfort or lower lobe pneumonia presenting as upper abdominal pain. No minimum severity threshold is imposed; the phenotype includes self-limited, mild, or incidental pain as well as severe, progressive, or disabling pain. No etiological, temporal, or anatomical exclusions are applied."
Acute liver failure,"Acute liver failure is a rare but life-threatening syndrome characterized by the rapid deterioration of hepatocellular function, manifesting as significant coagulopathy and hepatic encephalopathy of any grade, developing within 28 days of the onset of jaundice or initial hepatic symptoms in an individual without evidence of pre-existing chronic liver disease or cirrhosis. The syndrome arises from a direct, primary insult to hepatocytes â€” including viral, toxic, drug-induced, autoimmune, metabolic, or indeterminate causes â€” and is conceptually distinct from liver dysfunction occurring as a secondary consequence of hemodynamic compromise (e.g., ischemic hepatitis, shock liver), systemic sepsis, or passive hepatic congestion from right-sided heart failure, all of which are explicitly excluded."
acute pancreatitis,"Acute pancreatitis is a discrete, acute inflammatory condition of the pancreatic parenchyma characterized by sudden-onset abdominal pain, typically epigastric and often radiating to the back, accompanied by elevation of serum pancreatic enzyme activity (lipase and/or amylase) to at least three times the upper limit of normal, and/or characteristic findings of pancreatic inflammation on cross-sectional imaging. The condition spans a clinical severity spectrum ranging from mild self-limiting disease without local or systemic complications, through moderately severe disease involving transient organ dysfunction or local complications such as peripancreatic fluid collections or pancreatic necrosis, to severe disease defined by persistent organ failure affecting one or more organ systems for more than 48 hours. The phenotype is etiology-agnostic and encompasses all underlying causal mechanisms, including biliary, alcoholic, hypertriglyceridemia-induced, drug-induced, idiopathic, and autoimmune etiologies, as well as acute inflammatory episodes superimposed on pre-existing chronic pancreatic structural disease. Excluded from this definition is pancreatic inflammation arising primarily as a mechanical consequence of ductal obstruction by a pancreatic or periampullary malignancy, where the neoplasm rather than an intrinsic inflammatory process is the proximate cause of pancreatic injury."
Anaphylactic shock,"Anaphylactic shock is a severe, acute, life-threatening systemic hypersensitivity reaction defined by the cardinal feature of cardiovascular collapse â€” manifesting as significant hypotension and circulatory insufficiency with impaired tissue perfusion â€” arising from the rapid, widespread degranulation of mast cells and basophils and the consequent massive release of vasoactive and pro-inflammatory mediators, including histamine, leukotrienes, and prostaglandins. The condition may be triggered by any mechanism that produces this clinical syndrome, encompassing classical IgE-mediated allergic responses upon re-exposure to a sensitizing antigen, non-IgE immune-mediated pathways such as IgG- or complement-mediated reactions, and non-immunologic direct mast-cell activators; the clinical syndrome, not the underlying trigger, defines the entity. The obligate hemodynamic collapse distinguishes anaphylactic shock from less severe hypersensitivity presentations that do not produce circulatory compromise, including isolated urticaria, bronchospasm, or angioedema without cardiovascular involvement. Anaphylactic shock is explicitly distinguished from vasovagal and neurogenic distributive collapse, in which hemodynamic instability arises through autonomic neural mechanisms without a hypersensitivity reaction; from septic, cardiogenic, and hypovolemic shock, which reflect fundamentally distinct primary pathophysiologic insults; and from hereditary or acquired angioedema, which is bradykinin-mediated rather than mast-cell/histamine-driven and does not constitute true anaphylaxis."
Bipolar disorder I,"Bipolar disorder I is a primary, chronic, episodic psychiatric mood disorder defined by the lifetime occurrence of at least one manic episode â€” a distinct period of abnormally and persistently elevated, expansive, or irritable mood with increased goal-directed activity or energy, lasting at least seven days (or any duration if hospitalization is required), and representing a marked departure from baseline functioning. The manic episode must cause significant impairment in social or occupational functioning or necessitate hospitalization, and may include psychotic features (e.g., grandiose delusions, hallucinations) that are temporally confined to the mood disturbance. Major depressive or hypomanic episodes may occur across the illness course but are not required for diagnosis. The disorder is idiopathic; manic episodes directly attributable to the physiological effects of a substance, medication, or general medical condition are excluded. Schizoaffective disorder, bipolar type â€” in which psychotic symptoms persist independently outside of mood episodes â€” is also excluded from this phenotype."
Confusion,"Confusion, as a clinical phenotype, refers to any acute or subacute global disturbance in cognitive function characterized by a detectable change from the patient's established baseline, spanning the full spectrum from mild disorientation to profound unresponsiveness. The condition encompasses impairments in attention, awareness, orientation, memory, or organized thinking that arise over a short period, irrespective of underlying etiology, and thus includes neurologically or medically mediated presentations such as delirium, toxic-metabolic encephalopathy, septic encephalopathy, and postictal confusion. Acute-on-chronic deterioration qualifies when an individual with a pre-existing cognitive impairment exhibits a clinically discernible acute worsening beyond their known baseline. The phenotype explicitly excludes primary psychiatric disorders in which disorganized cognition arises from a psychiatric process â€” such as acute psychosis or a manic episode â€” rather than a neurological or systemic medical etiology. It further excludes focal neurological deficits, such as expressive aphasia or hemispatial neglect, that may superficially resemble generalized confusion but represent discrete cortical or subcortical lesions without global cognitive or attentional impairment."
Crohn's disease,"Crohn's disease is a chronic, idiopathic, immune-mediated inflammatory bowel disease characterized by transmural, granulomatous inflammation capable of affecting any segment of the gastrointestinal tract from the mouth to the anus. The disease is defined by its capacity to produce discontinuous, skip lesions and encompasses all phenotypic subtypes and disease behaviors, including non-stricturing/non-penetrating (inflammatory), stricturing, and penetrating disease, as well as perianal involvement, across all levels of clinical severity from mild to severe. The inflammatory process extends through the full thickness of the bowel wall and may result in downstream complications such as fistulas, abscesses, and fibrotic strictures. This definition explicitly excludes ulcerative colitis, which is limited to continuous, mucosal-only inflammation of the colon, and indeterminate/unclassified colitis, which represents unresolved diagnostic uncertainty between the two major inflammatory bowel disease entities. It further excludes granulomatous or transmural intestinal inflammation attributable to an identified infectious etiology, specifically intestinal tuberculosis, Yersinia enterocolitica ileitis, and actinomycosis, where a specific pathogen fully accounts for the histological and clinical findings."
Ischemic stroke,"Ischemic stroke is an acute cerebrovascular event characterized by the sudden onset of a focal neurological deficit â€” such as unilateral motor or sensory impairment, aphasia, visual field loss, or cerebellar dysfunction â€” caused by ischemic infarction of brain tissue resulting from the focal occlusion of a supplying artery or draining vein, with persistent tissue injury confirmed on neuroimaging or by clinical consensus. The phenotype encompasses all arterial ischemic subtypes including large artery atherosclerosis, cardioembolism, small vessel (lacunar) occlusion, other determined etiologies such as vasculitis or arterial dissection, and cryptogenic or undetermined causes, as well as cerebral venous sinus thrombosis with resultant venous infarction. Excluded from this phenotype are: transient ischemic attacks, which resolve without evidence of infarction; hemodynamic or watershed infarcts arising from global systemic hypoperfusion in the absence of a discrete focal vascular occlusion; and stroke mimics â€” including Todd's paralysis, hemiplegic migraine, metabolic encephalopathies, and demyelinating disease relapses â€” which produce transient focal neurological deficits without a structural ischemic lesion; and ischemic infarction precipitated solely by direct mechanical trauma to the cervical or intracranial vasculature, as distinct from spontaneous arterial dissection arising from intrinsic vascular fragility."
Major Depressive Disorder,"Major Depressive Disorder (MDD) is a unipolar mood disorder characterized by one or more discrete Major Depressive Episodes, each defined by a minimum two-week period during which the individual experiences either persistent depressed mood or markedly diminished interest or pleasure in nearly all activities, accompanied by at least four additional neurovegetative, cognitive, or somatic symptoms from the DSM-5 criterion set â€” including significant weight or appetite change, insomnia or hypersomnia, psychomotor agitation or retardation, fatigue or loss of energy, feelings of worthlessness or excessive guilt, diminished concentration or indecisiveness, and recurrent thoughts of death or suicidal ideation. The episode must cause clinically significant distress or functional impairment and must not be attributable to the physiological effects of a substance or another medical condition. This phenotype encompasses presentations across the full severity spectrum (mild, moderate, and severe) but explicitly excludes depressive episodes occurring within the context of Bipolar I or Bipolar II Disorder, substance-induced depressive disorder, depressive disorder due to a general medical condition, Persistent Depressive Disorder (dysthymia), adjustment disorder with depressed mood, and bereavement-related low mood that does not satisfy the full MDE symptom threshold and duration requirement."
Multiple myeloma,"Multiple myeloma is a malignant plasma cell dyscrasia characterized by the clonal proliferation of neoplastic plasma cells within the bone marrow, producing active, symptomatic disease. The condition is defined by the presence of end-organ damage attributable to the underlying plasma cell clone â€” specifically hypercalcemia, renal impairment, anemia, or osteolytic bone lesions (CRAB criteria) â€” or by myeloma-defining biomarkers indicating very high tumor burden, including clonal bone marrow plasma cell infiltration of 60% or greater, a serum involved-to-uninvolved free light chain ratio of 100 or greater, or more than one focal lesion on MRI. The definition encompasses all immunoglobulin subtypes (IgG, IgA, IgD, IgE, light chain only, and non-secretory variants) and all disease stages without restriction. Explicitly excluded are the precursor state of monoclonal gammopathy of undetermined significance (MGUS), smoldering (asymptomatic) multiple myeloma, solitary plasmacytoma of bone or extramedullary sites, and plasma cell leukemia, each of which represents a distinct clinical and biological entity with different natural histories and management paradigms."
