cohortId,cohortName,phenotype
25732,[mschuemi] Acute liver failure (AI-generated mono-flow Opus 4.8),Acute liver failure
25733,[mschuemi] Ischemic stroke (AI-generated mono-flow Opus 4.8),Ischemic stroke
25735,[mschuemi] Multiple myeloma (AI-generated mono-flow Opus 4.8),Multiple myeloma
25736,[mschuemi] Major Depressive Disorder (AI-generated mono-flow Opus 4.8),Major Depressive Disorder
25737,[mschuemi] Stevens-Johnson syndrome (AI-generated mono-flow Opus 4.8),Stevens-Johnson syndrome
25738,[mschuemi] Anaphylactic shock (AI-generated mono-flow Opus 4.8),Anaphylactic shock
25739,[mschuemi] acute pancreatitis (AI-generated mono-flow Opus 4.8),acute pancreatitis
25740,[mschuemi] Crohn's disease (AI-generated mono-flow Opus 4.8),Crohn's disease
25741,[mschuemi] Pulmonary arterial hypertension (AI-generated mono-flow Opus 4.8),Pulmonary arterial hypertension
25742,[mschuemi] venous thromboembolism (AI-generated mono-flow Opus 4.8),venous thromboembolism
25743,[mschuemi] Neonatal jaundice (AI-generated mono-flow Opus 4.8),Neonatal jaundice
25744,[mschuemi] Abdominal Pain (AI-generated mono-flow Opus 4.8),Abdominal Pain
25745,[mschuemi] Confusion (AI-generated mono-flow Opus 4.8),Confusion
25746,[mschuemi] ST-elevation myocardial infarction (AI-generated mono-flow Opus 4.8),ST-elevation myocardial infarction
25747,[mschuemi] Bipolar disorder I (AI-generated mono-flow Opus 4.8),Bipolar disorder I
